code,message
0,"The client request was properly formed, but a server error occurred while processing it."
1,The client request did not contain an 'email' header.
2,The client request did not contain a 'useragent' header.
3,The client request contains malformed headers.
4,The client does not have permission to perform the requested operation.
5,The client asked us to load an entity but no entity with that ID was found.
6,The client sent an invalid string for Ad Group status.
7,"The client sent a CPC which is outside the range of valid values. The minimum allowed bid is 50000 micros (which in US dollars, for example, is 5 cents). This error frequently occurs because the minimum bid is not high enough, so we recommend you check your minimum bid. For more information on micros, see the section Monetary Units in the AdWords API Web Services chapter.  This error code is planned to be removed in v10."
8,The client request did not contain a 'password' header.
9,The client's email/password credentials are invalid.
10,The client sent an invalid human-readable name for an entity.
12,The client sent a request that has an invalid array length.
13,The client sent a language code that is invalid.
14,"The client supplied keyword text that is invalid. It may have illegal characters, be too long, or be blank."
15,The client sent an invalid keyword type.
16,The client sent an invalid Destination URL.
17,The client has tried to create an entity that goes beyond the size limits on AdWords campaigns.
18,Some sort of internal traffic estimate error occurred.
19,The specified language code is invalid.
20,The specified currency code is invalid.
21,"The text specified for this Creative violates Google policy. If this error occurs, the detail field of the response contains a Violation element that has some or all of the following fields (depending on how much information is available):    index - indicates the index of the element in the input array   that caused the violation.   trigger - a string describing the violation that triggered the error.   isExemptable - a boolean indicating whether it is possible to get an exemption   for this kind of violation or not. The default is false.   textIndex - where in the text the violation occurred.   textLength - length of the string that caused the violation.   reason - why the violation occurred.  For more information about what it means for creatives to violate Google editorial policy, see the section Policy Checking. For details, see Editorial Guidelines. Policy violation errors are considered to be user errors, and they count against your quota."
22,The Ad Group request array is null.
23,The campaign request array is null.
24,The keyword request array is null.
25,The client tried to do something with a report job that is illegal given its current status.
26,The specified country code is invalid.
27,The specified metro code is invalid.
28,The specified region code is invalid.
29,The specified geo target is invalid.
30,The specified report job has invalid parameters.
31,The specified report job has missing required parameters.
32,A report job cannot be scheduled because the user has too many jobs already running.
33,The specified city string is invalid.
34,The specified budget is invalid for this campaign.
35,The specified end date is invalid for this campaign.
36,The specified name is invalid for this campaign.
37,The specified status change request is invalid.
