Group,NS,Type,Attribute
mcm,"https://adwords.google.com/api/adwords/mcm/v201109",AlertError,reason
mcm,"https://adwords.google.com/api/adwords/mcm/v201109",AlertQuery,clientSpec
mcm,"https://adwords.google.com/api/adwords/mcm/v201109",AlertQuery,filterSpec
mcm,"https://adwords.google.com/api/adwords/mcm/v201109",AlertQuery,types
mcm,"https://adwords.google.com/api/adwords/mcm/v201109",AlertQuery,severities
mcm,"https://adwords.google.com/api/adwords/mcm/v201109",AlertQuery,triggerTimeSpec
mcm,"https://adwords.google.com/api/adwords/mcm/v201109",AlertQuery,triggerTime
mcm,"https://adwords.google.com/api/adwords/mcm/v201109",AlertQuery,clientCustomerIds
mcm,"https://adwords.google.com/api/adwords/mcm/v201109",Detail,triggerTime
mcm,"https://adwords.google.com/api/adwords/mcm/v201109",Alert,alertSeverity
mcm,"https://adwords.google.com/api/adwords/mcm/v201109",Alert,alertType
mcm,"https://adwords.google.com/api/adwords/mcm/v201109",Alert,clientCustomerId
mcm,"https://adwords.google.com/api/adwords/mcm/v201109",Alert,details
mcm,"https://adwords.google.com/api/adwords/mcm/v201109",AlertPage,entries
mcm,"https://adwords.google.com/api/adwords/mcm/v201109",Account,customerId
mcm,"https://adwords.google.com/api/adwords/mcm/v201109",Account,login
mcm,"https://adwords.google.com/api/adwords/mcm/v201109",Account,companyName
mcm,"https://adwords.google.com/api/adwords/mcm/v201109",Account,canManageClients
mcm,"https://adwords.google.com/api/adwords/mcm/v201109",Account,currencyCode
mcm,"https://adwords.google.com/api/adwords/mcm/v201109",Account,dateTimeZone
mcm,"https://adwords.google.com/api/adwords/mcm/v201109",CustomerId,id
mcm,"https://adwords.google.com/api/adwords/mcm/v201109",Link,managerId
mcm,"https://adwords.google.com/api/adwords/mcm/v201109",Link,clientId
mcm,"https://adwords.google.com/api/adwords/mcm/v201109",Link,typeOfLink
mcm,"https://adwords.google.com/api/adwords/mcm/v201109",Link,descriptiveName
mcm,"https://adwords.google.com/api/adwords/mcm/v201109",Link,Link_Type
mcm,"https://adwords.google.com/api/adwords/mcm/v201109",ServicedAccountGraph,accounts
mcm,"https://adwords.google.com/api/adwords/mcm/v201109",ServicedAccountGraph,links
info,"https://adwords.google.com/api/adwords/info/v201101",ApiUsageError,reason
info,"https://adwords.google.com/api/adwords/info/v201101",ApiUsageRecord,clientEmail
info,"https://adwords.google.com/api/adwords/info/v201101",ApiUsageRecord,cost
info,"https://adwords.google.com/api/adwords/info/v201101",ApiUsageInfo,apiUsageRecords
info,"https://adwords.google.com/api/adwords/info/v201101",ApiUsageInfo,cost
info,"https://adwords.google.com/api/adwords/info/v200909",ApiUsageError,reason
info,"https://adwords.google.com/api/adwords/info/v200909",ApiUsageRecord,clientEmail
info,"https://adwords.google.com/api/adwords/info/v200909",ApiUsageRecord,cost
info,"https://adwords.google.com/api/adwords/info/v200909",ApiUsageInfo,apiUsageRecords
info,"https://adwords.google.com/api/adwords/info/v200909",ApiUsageInfo,cost
ch,"https://adwords.google.com/api/adwords/ch/v201109",AdGroupChangeData,adGroupId
ch,"https://adwords.google.com/api/adwords/ch/v201109",AdGroupChangeData,adGroupChangeStatus
ch,"https://adwords.google.com/api/adwords/ch/v201109",AdGroupChangeData,changedAds
ch,"https://adwords.google.com/api/adwords/ch/v201109",AdGroupChangeData,changedCriteria
ch,"https://adwords.google.com/api/adwords/ch/v201109",AdGroupChangeData,deletedCriteria
ch,"https://adwords.google.com/api/adwords/ch/v201109",CampaignChangeData,campaignId
ch,"https://adwords.google.com/api/adwords/ch/v201109",CampaignChangeData,campaignChangeStatus
ch,"https://adwords.google.com/api/adwords/ch/v201109",CampaignChangeData,changedAdGroups
ch,"https://adwords.google.com/api/adwords/ch/v201109",CampaignChangeData,addedCampaignCriteria
ch,"https://adwords.google.com/api/adwords/ch/v201109",CampaignChangeData,deletedCampaignCriteria
ch,"https://adwords.google.com/api/adwords/ch/v201109",CampaignChangeData,addedAdExtensions
ch,"https://adwords.google.com/api/adwords/ch/v201109",CampaignChangeData,deletedAdExtensions
ch,"https://adwords.google.com/api/adwords/ch/v201109",CampaignChangeData,campaignTargetingChanged
ch,"https://adwords.google.com/api/adwords/ch/v201109",CustomerChangeData,changedCampaigns
ch,"https://adwords.google.com/api/adwords/ch/v201109",CustomerChangeData,lastChangeTimestamp
cm,"https://adwords.google.com/api/adwords/cm/v201101",AdExtensionOverrideError,reason
cm,"https://adwords.google.com/api/adwords/cm/v201101",Address,streetAddress
cm,"https://adwords.google.com/api/adwords/cm/v201101",Address,streetAddress2
cm,"https://adwords.google.com/api/adwords/cm/v201101",Address,cityName
cm,"https://adwords.google.com/api/adwords/cm/v201101",Address,provinceCode
cm,"https://adwords.google.com/api/adwords/cm/v201101",Address,provinceName
cm,"https://adwords.google.com/api/adwords/cm/v201101",Address,postalCode
cm,"https://adwords.google.com/api/adwords/cm/v201101",Address,countryCode
cm,"https://adwords.google.com/api/adwords/cm/v201101",DoubleValue,number
cm,"https://adwords.google.com/api/adwords/cm/v201101",EntityNotFound,reason
cm,"https://adwords.google.com/api/adwords/cm/v201101",GeoPoint,latitudeInMicroDegrees
cm,"https://adwords.google.com/api/adwords/cm/v201101",GeoPoint,longitudeInMicroDegrees
cm,"https://adwords.google.com/api/adwords/cm/v201101",LocationExtension,address
cm,"https://adwords.google.com/api/adwords/cm/v201101",LocationExtension,geoPoint
cm,"https://adwords.google.com/api/adwords/cm/v201101",LocationExtension,encodedLocation
cm,"https://adwords.google.com/api/adwords/cm/v201101",LocationExtension,companyName
cm,"https://adwords.google.com/api/adwords/cm/v201101",LocationExtension,phoneNumber
cm,"https://adwords.google.com/api/adwords/cm/v201101",LocationExtension,source
cm,"https://adwords.google.com/api/adwords/cm/v201101",LocationExtension,iconMediaId
cm,"https://adwords.google.com/api/adwords/cm/v201101",LocationExtension,imageMediaId
cm,"https://adwords.google.com/api/adwords/cm/v201101",LocationOverrideInfo,radius
cm,"https://adwords.google.com/api/adwords/cm/v201101",LocationOverrideInfo,radiusUnits
cm,"https://adwords.google.com/api/adwords/cm/v201101",LongValue,number
cm,"https://adwords.google.com/api/adwords/cm/v201101",MobileExtension,phoneNumber
cm,"https://adwords.google.com/api/adwords/cm/v201101",MobileExtension,countryCode
cm,"https://adwords.google.com/api/adwords/cm/v201101",MobileExtension,isCallOnly
cm,"https://adwords.google.com/api/adwords/cm/v201101",OverrideInfo,LocationOverrideInfo
cm,"https://adwords.google.com/api/adwords/cm/v201101",Paging,startIndex
cm,"https://adwords.google.com/api/adwords/cm/v201101",Paging,numberResults
cm,"https://adwords.google.com/api/adwords/cm/v201101",ProductConditionOperand,operand
cm,"https://adwords.google.com/api/adwords/cm/v201101",Sitelink,displayText
